10  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
A1+10  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
A2+10  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 
